Seconds from Periapsis,Areodetic Latitude,Longitude,True Local Solar Time,Solar Zenith Angle,AREODETIC ALTITUDE,99-SEC DENSITY,SIGMA 99-SEC DENSITY,1-SEC DENSITY,SIGMA 1-SEC DENSITY,SPACECRAFT MASS,BIAS NOISE 1-SIGMA
-300,53.726,230.135,15.149,76.890,255.810,0.002,0.010,-0.016,0.011,1136.067,0.012
-299,53.668,230.180,15.152,76.873,255.336,0.002,0.010,-0.018,0.010,1136.067,0.012
-298,53.611,230.226,15.155,76.856,254.863,0.002,0.010,-0.021,0.011,1136.067,0.012
-297,53.553,230.271,15.159,76.839,254.392,0.002,0.010,-0.022,0.011,1136.067,0.012
-296,53.496,230.316,15.162,76.822,253.923,0.001,0.010,-0.022,0.012,1136.067,0.012
-295,53.438,230.361,15.165,76.805,253.454,0.001,0.010,-0.022,0.012,1136.067,0.012
-294,53.381,230.406,15.168,76.788,252.987,0.001,0.010,-0.019,0.013,1136.067,0.012
-293,53.323,230.451,15.172,76.771,252.522,0.001,0.010,-0.009,0.014,1136.067,0.012
-292,53.266,230.495,15.175,76.753,252.058,0.001,0.010,-0.006,0.014,1136.067,0.012
-291,53.208,230.540,15.178,76.736,251.595,0.000,0.010,-0.006,0.014,1136.067,0.012
-290,53.150,230.584,15.181,76.719,251.134,0.000,0.010,-0.006,0.013,1136.067,0.012
-289,53.092,230.628,15.185,76.702,250.674,0.000,0.010,-0.004,0.012,1136.067,0.012
-288,53.035,230.672,15.188,76.685,250.216,-0.000,0.010,0.001,0.012,1136.067,0.012
-287,52.977,230.716,15.191,76.668,249.759,-0.000,0.010,0.002,0.012,1136.067,0.012
-286,52.919,230.760,15.194,76.651,249.303,-0.000,0.010,0.002,0.012,1136.067,0.012
-285,52.861,230.804,15.197,76.634,248.849,-0.000,0.010,0.002,0.011,1136.067,0.012
-284,52.803,230.848,15.201,76.617,248.396,-0.001,0.010,0.003,0.011,1136.067,0.012
-283,52.745,230.891,15.204,76.600,247.944,-0.001,0.010,0.007,0.011,1136.067,0.012
-282,52.687,230.935,15.207,76.583,247.494,-0.001,0.010,0.008,0.011,1136.067,0.012
-281,52.629,230.978,15.210,76.566,247.046,-0.001,0.010,0.008,0.010,1136.067,0.012
-280,52.571,231.021,15.213,76.549,246.599,-0.001,0.010,0.008,0.010,1136.067,0.012
-279,52.513,231.065,15.216,76.532,246.153,-0.002,0.010,0.008,0.010,1136.067,0.012
-278,52.455,231.108,15.219,76.515,245.709,-0.002,0.010,0.008,0.010,1136.067,0.012
-277,52.396,231.150,15.223,76.499,245.266,-0.002,0.010,0.007,0.011,1136.067,0.012
-276,52.338,231.193,15.226,76.482,244.824,-0.003,0.010,0.006,0.011,1136.067,0.012
-275,52.280,231.236,15.229,76.465,244.384,-0.004,0.010,0.005,0.011,1136.067,0.012
-274,52.222,231.279,15.232,76.448,243.946,-0.004,0.010,0.003,0.011,1136.067,0.012
-273,52.163,231.321,15.235,76.431,243.508,-0.004,0.010,-0.003,0.011,1136.067,0.012
-272,52.105,231.363,15.238,76.414,243.073,-0.005,0.010,-0.004,0.011,1136.067,0.012
-271,52.047,231.406,15.241,76.397,242.638,-0.005,0.010,-0.004,0.011,1136.067,0.012
-270,51.988,231.448,15.244,76.381,242.205,-0.004,0.010,-0.004,0.011,1136.067,0.012
-269,51.930,231.490,15.247,76.364,241.774,-0.004,0.010,-0.005,0.011,1136.067,0.012
-268,51.871,231.532,15.250,76.347,241.344,-0.004,0.010,-0.007,0.010,1136.067,0.012
-267,51.813,231.573,15.253,76.330,240.915,-0.004,0.010,-0.007,0.011,1136.067,0.012
-266,51.754,231.615,15.257,76.313,240.488,-0.003,0.010,-0.007,0.011,1136.067,0.012
-265,51.696,231.657,15.260,76.297,240.062,-0.003,0.010,-0.007,0.011,1136.067,0.012
-264,51.637,231.698,15.263,76.280,239.638,-0.002,0.010,-0.005,0.011,1136.067,0.012
-263,51.579,231.739,15.266,76.263,239.215,-0.001,0.010,0.003,0.011,1136.067,0.012
-262,51.520,231.781,15.269,76.246,238.793,-0.001,0.010,0.005,0.011,1136.067,0.012
-261,51.461,231.822,15.272,76.230,238.373,-0.000,0.010,0.005,0.011,1136.067,0.012
-260,51.402,231.863,15.275,76.213,237.955,0.001,0.010,0.005,0.011,1136.067,0.012
-259,51.344,231.904,15.278,76.196,237.538,0.001,0.010,0.004,0.011,1136.067,0.012
-258,51.285,231.945,15.281,76.180,237.122,0.002,0.010,-0.000,0.011,1136.067,0.012
-257,51.226,231.985,15.284,76.163,236.708,0.002,0.010,-0.002,0.011,1136.067,0.012
-256,51.167,232.026,15.287,76.146,236.295,0.002,0.010,-0.002,0.011,1136.067,0.012
-255,51.108,232.067,15.290,76.130,235.883,0.002,0.010,-0.002,0.011,1136.067,0.012
-254,51.049,232.107,15.293,76.113,235.473,0.002,0.010,-0.000,0.011,1136.067,0.012
-253,50.990,232.147,15.296,76.097,235.065,0.003,0.010,0.005,0.011,1136.067,0.012
-252,50.931,232.188,15.298,76.080,234.658,0.003,0.010,0.007,0.011,1136.067,0.012
-251,50.872,232.228,15.301,76.063,234.252,0.003,0.010,0.007,0.011,1136.067,0.012
-250,50.813,232.268,15.304,76.047,233.848,0.003,0.010,0.006,0.011,1136.067,0.012
-249,50.754,232.308,15.307,76.030,233.445,0.003,0.010,0.007,0.011,1136.067,0.012
-248,50.695,232.347,15.310,76.014,233.044,0.003,0.010,0.010,0.011,1136.067,0.012
-247,50.636,232.387,15.313,75.997,232.644,0.003,0.010,0.011,0.011,1136.067,0.012
-246,50.577,232.427,15.316,75.981,232.246,0.003,0.010,0.011,0.012,1136.067,0.012
-245,50.518,232.466,15.319,75.964,231.849,0.003,0.010,0.011,0.012,1136.067,0.012
-244,50.458,232.506,15.322,75.948,231.453,0.003,0.010,0.008,0.013,1136.067,0.012
-243,50.399,232.545,15.325,75.931,231.059,0.003,0.010,-0.001,0.013,1136.067,0.012
-242,50.340,232.584,15.328,75.915,230.666,0.003,0.010,-0.005,0.014,1136.067,0.012
-241,50.281,232.623,15.331,75.899,230.275,0.003,0.010,-0.005,0.014,1136.067,0.012
