Orbit N0.,Solar Longitude,Solar Latitude,Spacecraft Longitude,Spacecraft Latitude,Altitude,Solar Distance,Martian Year,Ls
2,262.36,-8.84,336.13,28.54,382.28,213043878.8,32,201.3
3,112.38,-9.18,185.23,28.65,204.58,212828103.6,32,202.1
4,323.6,-9.53,35.52,28.75,203.97,212615678.6,32,203.1
5,176.11,-9.87,247.5,27.79,200.39,212406684.6,32,203.9
6,96.69,-9.92,167.2,29.49,197.46,212374239.9,32,204.1
7,17.14,-9.97,87.37,29.63,196.73,212341817.6,32,204.1
8,297.6,-10.03,7.54,29.76,197.52,212309471.2,32,204.3
9,218.04,-10.08,287.7,29.88,197.57,212277190.5,32,204.4
10,138.51,-10.13,207.88,30.03,197.38,212244993,32,204.5
11,58.95,-10.19,128.01,30.14,197.49,212212857.1,32,204.7
12,339.41,-10.24,48.2,30.26,196.86,212180800.7,32,204.9
13,259.86,-10.29,328.35,30.4,197.9,212148815.4,32,205
14,180.3,-10.34,248.51,30.53,197.27,212116902.9,32,205.1
15,100.75,-10.4,168.68,30.61,198.16,212085065.1,32,205.3
16,21.2,-10.45,88.85,30.75,197.46,212053303.2,32,205.5
17,301.66,-10.5,9.02,30.87,198.18,212021619,32,205.6
18,222.1,-10.56,289.17,31,198.28,211990002.4,32,205.6
19,142.57,-10.61,209.35,31.14,198.05,211958470.6,32,205.7
20,63.01,-10.66,129.48,31.25,198.23,211927002,32,205.9
21,343.46,-10.71,49.66,31.38,197.55,211895614.6,32,206.1
22,263.91,-10.77,329.81,31.52,198.62,211864300.3,32,206.2
23,184.35,-10.82,249.96,31.64,198,211833060.4,32,206.3
24,104.8,-10.87,170.13,31.72,198.87,211801898.3,32,206.5
25,25.25,-10.93,90.3,31.86,198.2,211770813.3,32,206.7
26,305.71,-10.98,10.46,31.99,198.86,211739807.9,32,206.8
27,226.11,-11.03,290.79,31.55,196.55,211708855,32,206.9
28,158.64,-11.07,222.83,32.25,194.34,211682679.4,32,206.9
29,91.1,-11.12,155.01,32.32,195.21,211656533.5,32,207.1
30,23.58,-11.16,87.21,32.46,194.53,211630446.7,32,207.3
31,316.06,-11.21,19.4,32.59,194.96,211604418.8,32,207.4
32,248.53,-11.25,311.58,32.74,195.68,211578441.1,32,207.4
33,181,-11.3,243.77,32.89,194.98,211552523.3,32,207.5
34,113.48,-11.34,175.97,32.98,195.85,211526659.8,32,207.7
35,45.95,-11.39,108.15,33.12,195.43,211500851.4,32,207.9
36,338.43,-11.43,40.36,33.25,195.09,211475103.5,32,208
37,270.9,-11.47,332.54,33.39,196.19,211449408.6,32,208
38,203.37,-11.52,264.72,33.53,195.7,211423769,32,208.1
39,135.86,-11.56,196.94,33.66,195.93,211398192.3,32,208.3
40,68.33,-11.61,129.09,33.8,195.9,211372666.1,32,208.5
41,0.81,-11.65,61.31,33.93,195.12,211347201.1,32,208.5
42,293.29,-11.7,353.5,34.07,196.23,211321793,32,208.6
43,225.83,-11.74,285.74,34.21,179.91,211296460.4,32,208.7
44,158.44,-11.78,218.07,34.37,179.56,211271215.9,32,208.9
45,91.03,-11.83,150.35,34.45,180.3,211246018,32,208.9
46,23.62,-11.87,82.68,34.59,179.6,211220881.2,32,209.1
47,316.23,-11.92,14.99,34.72,180.17,211195804.5,32,209.2
48,248.82,-11.96,307.28,34.87,180.79,211170779.9,32,209.4
49,181.42,-12,239.6,35.02,180.09,211145817.8,32,209.5
50,114.02,-12.05,171.91,35.11,181.02,211120910.4,32,209.5
51,46.61,-12.09,104.21,35.26,180.56,211096060.7,32,209.7
52,339.22,-12.13,36.54,35.38,180.3,211071273,32,209.8
53,271.81,-12.18,328.83,35.53,181.38,211046539.7,32,210
54,204.41,-12.22,261.14,35.67,180.82,211021864.1,32,210
55,137.02,-12.27,193.47,35.79,181.14,210997252.2,32,210.1
56,69.61,-12.31,125.75,35.93,181.07,210972693.4,32,210.3
57,2.22,-12.35,58.1,36.06,180.29,210948197.6,32,210.4
58,294.83,-12.4,350.4,36.2,181.45,210923760,32,210.4
59,227.42,-12.44,282.7,36.34,181.36,210899377.1,32,210.6
60,160.04,-12.48,215.03,36.49,181.03,210875060.6,32,210.8
61,92.63,-12.53,147.3,36.59,181.67,210850793.2,32,210.9
62,25.23,-12.57,79.63,36.73,180.95,210826588.4,32,211.1
63,317.84,-12.61,11.94,36.86,181.6,210802445.4,32,211.1
64,250.43,-12.66,304.23,37.01,182.15,210778356.3,32,211.2
65,183.03,-12.7,236.54,37.17,181.44,210754332,32,211.4
66,115.63,-12.74,168.85,37.25,182.41,210730363.6,32,211.5
67,48.23,-12.79,101.15,37.4,181.93,210706455.1,32,211.5
68,340.84,-12.83,33.48,37.52,181.73,210682610.2,32,211.7
69,273.43,-12.87,325.77,37.67,182.78,210658821.5,32,211.8
70,206.03,-12.92,258.07,37.82,182.16,210635092.8,32,212
71,138.64,-12.96,190.4,37.92,182.57,210611428.8,32,212
72,71.24,-13,122.68,38.07,182.46,210587820.5,32,212.2
73,3.85,-13.04,55.02,38.2,181.71,210564276.8,32,212.3
74,296.46,-13.09,347.32,38.33,182.9,210540792.9,32,212.4
75,229.06,-13.13,279.62,38.48,182.74,210517365.9,32,212.6
76,161.68,-13.17,211.95,38.62,182.43,210494006.8,32,212.6
77,94.27,-13.22,144.22,38.73,182.98,210470699.6,32,212.8
78,26.87,-13.26,76.55,38.87,182.26,210447456.6,32,212.9
79,319.48,-13.3,8.85,39,182.97,210424276.8,32,213
80,252.08,-13.34,301.14,39.15,183.45,210401152.9,32,213
81,184.69,-13.39,233.46,39.3,182.74,210378095.9,32,213.2
82,117.29,-13.43,165.76,39.38,183.73,210355096,32,213.4
83,49.89,-13.47,98.06,39.53,183.23,210332158.3,32,213.5
84,342.5,-13.51,30.38,39.66,183.09,210309285.7,32,213.5
85,275.1,-13.56,322.67,39.8,184.11,210286471,32,213.6
86,207.7,-13.6,254.97,39.95,183.44,210263718.5,32,213.8
87,140.31,-13.64,187.31,40.05,183.94,210241031.7,32,214
88,72.92,-13.68,119.58,40.2,183.8,210218403.2,32,214.1
89,5.53,-13.73,51.92,40.32,183.07,210195840.6,32,214.1
90,298.14,-13.77,344.22,40.46,184.29,210173339.4,32,214.2
91,230.74,-13.81,276.51,40.61,184.07,210150897.4,32,214.4
92,163.37,-13.85,208.85,40.75,183.8,210128524.7,32,214.6
93,95.96,-13.9,141.11,40.87,184.26,210106206.5,32,214.6
94,28.57,-13.94,73.44,41,183.53,210083953.9,32,214.7
95,321.18,-13.98,5.74,41.13,184.3,210061766.2,32,214.8
96,253.78,-14.02,298.03,41.27,184.71,210039636.3,32,215
97,186.4,-14.06,230.34,41.43,184.01,210017575.1,32,215
98,119,-14.11,162.64,41.51,185.02,209995572.6,32,215.2
99,51.61,-14.15,94.95,41.66,184.5,209973634.3,32,215.3
100,344.22,-14.19,27.27,41.78,184.42,209951762.4,32,215.5
101,276.83,-14.23,319.55,41.93,185.4,209929950.1,32,215.6
102,209.43,-14.27,251.85,42.08,184.67,209908202.3,32,215.6
103,142.05,-14.31,184.19,42.18,185.29,209886520.9,32,215.8
104,74.66,-14.36,116.46,42.33,185.11,209864900.3,32,216
